Column1.designation,number of wines of this variety,mean points,standard deviation of mean points
#19 Phantom Limb Belmont Vineyard,1,88.0,
#50 Mon Chou,1,88.0,
#NAME?,2,90.5,0.7071067811865476
#SocialSecret,1,86.0,
%@#$!,1,90.0,
&,2,87.0,1.4142135623730951
'61 Rosé,1,87.0,
'A Rina,1,87.0,
'Blend 105' Red Wine,1,89.0,
'Na Vota,1,85.0,
'P',1,92.0,
'S',1,89.0,
'Unfiltered',1,90.0,
'Vie!',1,83.0,
'l Clumbé,1,87.0,
(+),1,85.0,
(Steen),1,87.0,
*%#&@!,1,91.0,
0 Degree Dry,1,84.0,
0 Degrees of Riesling Dry,1,85.0,
"0,618",1,88.0,
0.5 Brix,1,91.0,
006 Riverside Estate,3,84.66666666666667,1.5275252316519485
01-Jan,2,86.5,0.7071067811865476
01:01,2,89.5,0.7071067811865476
02:02,2,92.0,1.4142135623730951
075 Carati,3,84.66666666666667,1.5275252316519485
075 Carati Brut,1,86.0,
075 Carati Extra Dry,2,86.0,1.4142135623730951
075 Carati Rosé Cuvee Dry,1,85.0,
09/03/2005,3,94.0,0.0
1,3,87.66666666666667,4.932882862316246
1 Degree of Riesling Medium Dry,1,87.0,
"1,618",1,87.0,
10 Anni Riserva,1,87.0,
10 Anos,1,88.0,
10 Anos Old Tawny,1,88.0,
10 Anos Tawny,1,91.0,
10 Anos White,2,88.5,3.5355339059327378
10 Años Edición Limitada,1,93.0,
10 Eiswein,1,94.0,
10 Mile Bridge,1,86.0,
10 Vine Age Series,1,85.0,
10 Year Old Aged Tawny,1,88.0,
10 Year Old Tawny,3,89.0,1.7320508075688772
10 Year Tawny,1,91.0,
10 Years Old Tawny,5,88.4,2.408318915758459
10 Years Old White,2,90.5,2.1213203435596424
10 Years Tawny,1,89.0,
10-Year-Old Tawny,18,87.5,1.9478494929174652
10-Years Old White,1,91.0,
10-Years-Old,1,88.0,
10-Years-Old Aged Tawny,1,89.0,
10-Years-Old Tawny,10,88.4,2.503331114069146
10-Years-Old Tawny Unreported,1,90.0,
10-years old Tawny,2,89.5,0.7071067811865476
100 Abades,1,87.0,
100 Años Viñas Mendoza,1,87.0,
100 Hills Dry,6,90.0,1.0954451150103321
100 Series,1,86.0,
100% Musque Clone,1,84.0,
100% Skin Fermented,1,86.0,
1000 Eimerberg Smaragd,1,92.0,
1000 Vines,2,84.0,0.0
1000-Eimerberg Smaragd,2,91.0,4.242640687119285
1023,1,94.0,
1070 Green,1,88.0,
10RF Oloroso Medium Sherry,1,90.0,
11 12 13 Maldito,1,90.0,
11 Pinos Old Vines,1,84.0,
1100,1,84.0,
1105,4,89.5,1.0
1149 Rosé of,1,88.0,
115/667,1,86.0,
12 Clones,1,91.0,
12 Crianza,2,92.0,0.0
12 Meses,2,88.5,2.1213203435596424
12 Meses Barrica Viñedos Propios Crianza,1,88.0,
12 O'Clock High,1,88.0,
12 O'Clock High Estate,1,90.0,
12 e Mezzo,2,85.0,1.4142135623730951
120,23,83.8695652173913,1.7400195355770376
120 Reserva Especial,6,84.83333333333333,1.1690451944500124
120 Reserva Especial Hero's,1,86.0,
1234 Reserva,1,87.0,
125th Anniversary History,1,91.0,
1265,1,87.0,
13,2,87.0,2.8284271247461903
130 Brut,1,88.0,
1300,9,84.66666666666667,2.121320343559639
1300 Malbec,1,85.0,
14 Meses en Barrica,1,90.0,
14 Months Barrel Aged Kosher,1,84.0,
14 Vines,1,87.0,
1423 Reserva,1,86.0,
1479N Ruber,1,86.0,
1492,1,83.0,
1492 White,1,80.0,
15,2,84.5,0.7071067811865476
15 Anos Reserva,1,93.0,
15 Reserva,1,94.0,
15 Year Old Tawny Dessert Wine,1,94.0,
150 Anniversario,2,86.5,0.7071067811865476
152,2,88.5,3.5355339059327378
15er,1,85.0,
15th Anniversary Ottimo Red Wine,1,84.0,
16 Crianza,1,92.0,
16 Crows Cuvée,1,88.0,
16 Marzo,1,86.0,
16 Months Barrel Aged Kosher,1,81.0,
16 Rows,2,96.5,0.7071067811865476
1607 Extra Dry,1,87.0,
1620,1,86.0,
1637 Seleccion Especial Brut Rosado,1,85.0,
1685,1,90.0,
1685 Grande Cuvée,1,86.0,
1698,1,89.0,
16th Street Bridge,1,86.0,
1735,3,89.33333333333333,0.5773502691896278
1753,1,89.0,
1753 Syrah-Vermentino,1,86.0,
1762,1,83.0,
1769,5,88.2,0.44721359549995815
1772,6,90.66666666666667,1.9663841605003523
1772 Edna Ranch,4,89.75,2.6299556396765835
1772 Pacific Wind,1,90.0,
1780 Royal Heritage,1,92.0,
18 Barrel Estate Grown,1,92.0,
18 Meses,1,89.0,
180 Degrees,1,82.0,
181,4,88.0,1.4142135623730958
181-Merlot,1,85.0,
1810,2,89.0,1.4142135623730951
1815 Rosso,1,88.0,
1827,4,89.5,0.5773502691896278
1836,1,85.0,
1844,1,89.0,
1844 Réserve,2,89.0,1.4142135623730951
1846,1,89.0,
